Company Name,RevGrp,Site_ID,B2BorC,InOrOut,StoreVehicleHome,EmployeeCount,PartSeasonalOrFullTime,ProductSalesOrServices,WorkSchedule,VeteranFriendly,ZorProvideLeads
Midas,3 Top25Percent,Site_3,2 Mostly B2B,2 Mostly in,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,3 Some by Prospect and Franchise
Mina Mar,4 Top50Percent,Site_2,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Minuteman Press,3 Top25Percent,Site_4,3 Both,3 Even,2 Store or Vehicle location,3 Ten to Nineteen Employees,3 Part-time,3 Prepare and serve food,3 Six days/nights,3 Preference for hiring vets,3 Some by Prospect and Franchise
Miracle Method Bath & Kitchen Refinishing,5-Bottom50Percent,Site_3,4 Mostly B2C,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
MobileAppCity,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Mobility Plus,4 Top50Percent,Site_3,5 Only B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,1 Sell merchandise,1 Nine-to-Five on weekdays,"NA","NA"
Money Mailer,4 Top50Percent,Site_4,1 Only B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,3 Some by Prospect and Franchise
Monkey Bars / Gorgeous Garage,5-Bottom50Percent,Site_2,4 Mostly B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Mosquito Blasters,5-Bottom50Percent,Site_2,5 Only B2C,4 Mostly out,2 Store or Vehicle location,5 Fifty+ Employees,5 Seasonal,2 Some merchandise sales,1 Nine-to-Five on weekdays,2 Mild preference for vets,"NA"
Mosquito Joe,3 Top25Percent,Site_4,5 Only B2C,5 Only outdoors,3 Vehicle location,4 Twenty to Forty-nine Employees,4 Semi-seasonal,4 Mostly perform services,4 Seven days,4 Favorable lending to vets,4 Mostly by Franchise
Mosquito Squad,5-Bottom50Percent,Site_3,4 Mostly B2C,5 Only outdoors,4 Home or vehicle location,2 Five to Nine Employees,5 Seasonal,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Mr Sandless,5-Bottom50Percent,Site_2,3 Both,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,1 All by Prospect
Mr. Appliance Corporation,3 Top25Percent,Site_4,4 Mostly B2C,3 Even,4 Home or vehicle location,4 Twenty to Forty-nine Employees,4 Semi-seasonal,4 Mostly perform services,4 Seven days,4 Favorable lending to vets,4 Mostly by Franchise
Mr. Electric,5-Bottom50Percent,Site_2,4 Mostly B2C,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,4 Mostly by Franchise
MRINetwork,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Murphy Business Brokerage,5-Bottom50Percent,Site_2,3 Both,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
My Business Venture,1 Top5Percent,Site_4,5 Only B2C,1 Only indoors,5 Work from home,1 One to Four Employees,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
My Gym Children's Fitness Center,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,5 Work from home,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
N-Compass TV (fka VueBox),2 Top10Percent,Site_3,1 Only B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,2 Six days,1 Not a factor for me,1 All by Prospect
N-Hance,3 Top25Percent,Site_3,5 Only B2C,2 Mostly in,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
N-Hance Canada,5-Bottom50Percent,Site_2,4 Mostly B2C,1 Only indoors,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,3 Some by Prospect and Franchise
N Zone Sports,5-Bottom50Percent,Site_2,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
National Property Inspections,5-Bottom50Percent,Site_4,5 Only B2C,4 Mostly out,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,"NA"
Nature's Pet,5-Bottom50Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,"NA"
Nextaff,4 Top50Percent,Site_4,1 Only B2B,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,2 Mostly by Prospect
Nexus Property Management,4 Top50Percent,Site_3,2 Mostly B2B,2 Mostly in,4 Home or vehicle location,1 One to Four Employees,1 Full-time,5 Perform services,5 Seven days 24/7,1 Not a factor for me,"NA"
NOVUS Auto Glass,3 Top25Percent,Site_3,3 Both,4 Mostly out,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,2 Mild preference for vets,3 Some by Prospect and Franchise
Online Trading Academy,1 Top5Percent,Site_4,5 Only B2C,1 Only indoors,5 Work from home,0 Just myself,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,1 All by Prospect
OpenWorks,3 Top25Percent,Site_3,1 Only B2B,1 Only indoors,4 Home or vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,4 Seven days,1 Not a factor for me,"NA"
Outdoor Lighting Perspectives,4 Top50Percent,Site_3,3 Both,4 Mostly out,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Oxi Fresh Carpet Cleaning,2 Top10Percent,Site_4,3 Both,2 Mostly in,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,5 Perform services,2 Six days,2 Mild preference for vets,3 Some by Prospect and Franchise
Padgett Business Services Canada,5-Bottom50Percent,Site_2,1 Only B2B,1 Only indoors,1 Store retail location,1 One to Four Employees,1 Full-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,2 Mostly by Prospect
Paniq Escape Room,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,5 Perform services,3 Six days/nights,1 Not a factor for me,1 All by Prospect
Papa Murphys,3 Top25Percent,Site_3,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
Parker-Anderson Enrichment,4 Top50Percent,Site_3,5 Only B2C,3 Even,4 Home or vehicle location,1 One to Four Employees,3 Part-time,5 Perform services,1 Nine-to-Five on weekdays,1 Not a factor for me,"NA"
Paul Davis Restoration,4 Top50Percent,Site_2,3 Both,3 Even,2 Store or Vehicle location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,4 Seven days,2 Mild preference for vets,2 Mostly by Prospect
"Paul Green School of Rock, The",5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,5 Perform services,2 Six days,1 Not a factor for me,2 Mostly by Prospect
Peachwave Frozen Yogurt,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,3 Prepare and serve food,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Pet Depot,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,3 Ten to Nineteen Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,3 Some by Prospect and Franchise
Pet Supplies Plus,4 Top50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,2 Six days,2 Mild preference for vets,2 Mostly by Prospect
Pet Wants,4 Top50Percent,Site_3,5 Only B2C,2 Mostly in,2 Store or Vehicle location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,3 Six days/nights,1 Not a factor for me,"NA"
Pets Warehouse,5-Bottom50Percent,Site_2,5 Only B2C,1 Only indoors,1 Store retail location,2 Five to Nine Employees,1 Full-time,1 Sell merchandise,4 Seven days,1 Not a factor for me,1 All by Prospect
